"strata","year","biomass","cv"
"EBS Shelf",1982,0,NA
"EBS Shelf",1983,0,NA
"EBS Shelf",1984,17.75,1.00011774748157
"EBS Shelf",1985,36.17,0.999979056074072
"EBS Shelf",1986,0,NA
"EBS Shelf",1987,49.72,0.999997309952247
"EBS Shelf",1988,0,NA
"EBS Shelf",1989,0,NA
"EBS Shelf",1990,0,NA
"EBS Shelf",1991,857.4,0.942736620965996
"EBS Shelf",1992,13.75,0.999641059547818
"EBS Shelf",1993,86.07,1.00001604324059
"EBS Shelf",1994,46.61,0.999984948048326
"EBS Shelf",1995,75.58,0.702522338074453
"EBS Shelf",1996,35.63,0.999975935059316
"EBS Shelf",1997,126.24,0.999977294057392
"EBS Shelf",1998,537.59,0.679288950605752
"EBS Shelf",1999,397.58,0.750175213766129
"EBS Shelf",2000,0,NA
"EBS Shelf",2001,0,NA
"EBS Shelf",2002,0,NA
"EBS Shelf",2003,55.35,0.698669234008834
"EBS Shelf",2004,0,NA
"EBS Shelf",2005,36.32,1.0000122806306
"EBS Shelf",2006,356.64,0.847074921672117
"EBS Shelf",2007,0,NA
"EBS Shelf",2008,0,NA
"EBS Shelf",2009,121.56,0.57816831177034
"EBS Shelf",2010,56.95,0.920180264226829
"EBS Shelf",2011,55.82,1.00002846674258
"EBS Shelf",2012,36.63,1.00002757540495
"EBS Shelf",2013,39.73,1.00011881031295
"EBS Shelf",2014,28.25,0.999954200533161
"EBS Shelf",2015,142.91,0.999982686264541
"EBS Shelf",2016,20.06,0.999786509935853
"EBS Shelf",2017,169.32,0.726703716640326
"EBS Shelf",2018,1592.69,0.699940109444454
"EBS Shelf",2019,0,NA
